Match ID,Player ID,Team ID,Kills,Deaths,Assists,MVP
M001,P024,T04,17,13,1,No
M001,P041,T04,19,13,9,No
M001,P020,T04,0,13,4,No
M001,P087,T04,16,11,6,No
M001,P100,T04,0,14,7,No
M001,P058,T07,3,6,6,Yes
M001,P014,T07,5,9,4,No
M001,P094,T07,0,12,9,No
M001,P069,T07,7,0,7,No
M001,P085,T07,13,10,1,No
M002,P044,T02,5,7,8,No
M002,P028,T02,1,14,3,No
M002,P035,T02,3,1,10,No
M002,P017,T02,20,11,5,No
M002,P017,T02,7,14,7,No
M002,P043,T01,9,12,1,Yes
M002,P027,T01,3,15,9,No
M002,P006,T01,17,13,7,No
M002,P019,T01,15,13,5,No
M002,P039,T01,14,5,1,No
M003,P017,T04,19,11,1,No
M003,P053,T04,0,6,10,No
M003,P033,T04,0,2,6,No
M003,P007,T04,6,4,5,No
M003,P087,T04,6,0,10,Yes
M003,P082,T01,17,3,8,No
M003,P087,T01,7,1,1,Yes
M003,P090,T01,11,2,1,No
M003,P001,T01,6,13,10,No
M003,P090,T01,11,9,0,No
M004,P070,T10,18,11,8,No
M004,P032,T10,11,13,5,No
M004,P015,T10,19,1,3,No
M004,P093,T10,5,1,1,No
M004,P012,T10,1,0,0,No
M004,P073,T03,3,13,8,No
M004,P034,T03,20,9,1,No
M004,P054,T03,18,5,9,No
M004,P018,T03,14,7,0,No
M004,P090,T03,13,2,0,Yes
M005,P006,T12,4,0,5,No
M005,P078,T12,5,1,3,No
M005,P068,T12,11,4,8,No
M005,P012,T12,3,7,4,Yes
M005,P013,T12,17,5,4,No
M005,P026,T04,5,2,7,No
M005,P067,T04,6,1,1,No
M005,P030,T04,6,10,9,No
M005,P025,T04,2,4,7,No
M005,P071,T04,9,4,6,No
M006,P088,T07,2,14,0,No
M006,P083,T07,11,5,3,No
M006,P008,T07,10,8,10,No
M006,P085,T07,7,8,7,No
M006,P056,T07,6,13,7,No
M006,P022,T14,1,1,1,No
M006,P058,T14,2,7,10,No
M006,P031,T14,2,2,2,Yes
M006,P058,T14,9,8,9,No
M006,P035,T14,4,8,6,No
M007,P089,T05,16,1,10,No
M007,P053,T05,18,15,7,No
M007,P024,T05,6,11,2,No
M007,P004,T05,16,0,10,No
M007,P052,T05,1,10,1,Yes
M007,P060,T17,8,0,8,No
M007,P087,T17,0,9,7,No
M007,P013,T17,16,12,6,No
M007,P094,T17,18,2,8,No
M007,P023,T17,13,9,10,No
M008,P045,T18,8,14,7,No
M008,P062,T18,11,3,4,No
M008,P002,T18,4,8,9,No
M008,P021,T18,13,13,7,No
M008,P064,T18,2,7,2,No
M008,P015,T17,8,10,2,No
M008,P066,T17,14,1,8,No
M008,P074,T17,8,7,0,No
M008,P025,T17,19,11,9,Yes
M008,P018,T17,2,7,3,No
M009,P015,T19,3,1,2,No
M009,P026,T19,19,0,10,No
M009,P075,T19,15,0,1,No
M009,P090,T19,2,13,1,No
M009,P021,T19,16,14,2,No
M009,P092,T05,5,10,5,No
M009,P034,T05,2,5,3,No
M009,P083,T05,20,15,9,Yes
M009,P008,T05,5,8,4,No
M009,P079,T05,0,12,10,No
M010,P018,T03,9,8,2,No
M010,P042,T03,7,9,4,No
M010,P027,T03,6,11,3,No
M010,P035,T03,6,7,0,Yes
M010,P071,T03,13,5,6,No
M010,P020,T05,1,11,7,No
M010,P072,T05,17,6,2,No
M010,P052,T05,10,6,9,No
M010,P024,T05,7,15,3,No
M010,P050,T05,4,12,9,No
M011,P006,T10,0,4,0,No
M011,P057,T10,18,3,10,No
M011,P082,T10,10,12,7,No
M011,P007,T10,8,15,3,No
M011,P031,T10,18,3,0,No
M011,P088,T15,18,6,9,No
M011,P064,T15,6,7,2,No
M011,P008,T15,8,14,8,No
M011,P035,T15,8,7,5,No
M011,P092,T15,9,10,2,Yes
M012,P091,T02,18,14,10,No
M012,P036,T02,19,2,2,No
M012,P053,T02,3,14,6,No
M012,P033,T02,14,3,2,No
M012,P046,T02,5,2,7,Yes
M012,P007,T17,4,13,10,No
M012,P026,T17,2,5,2,No
M012,P075,T17,3,7,2,No
M012,P035,T17,0,10,9,No
M012,P066,T17,19,4,2,No
M013,P050,T03,18,14,1,No
M013,P065,T03,6,11,1,No
M013,P076,T03,4,1,9,No
M013,P049,T03,8,10,9,No
M013,P034,T03,2,6,3,No
M013,P033,T08,7,10,3,No
M013,P091,T08,11,8,0,No
M013,P097,T08,9,0,9,No
M013,P064,T08,2,3,4,Yes
M013,P047,T08,3,11,0,No
M014,P076,T18,15,8,5,No
M014,P053,T18,15,4,3,No
M014,P038,T18,20,8,0,No
M014,P100,T18,18,1,1,No
M014,P095,T18,5,15,5,No
M014,P067,T11,0,9,4,No
M014,P089,T11,20,0,9,No
M014,P014,T11,20,2,5,No
M014,P017,T11,8,13,8,Yes
M014,P003,T11,17,13,1,No
M015,P037,T05,12,2,8,No
M015,P086,T05,20,3,5,No
M015,P100,T05,8,12,6,Yes
M015,P066,T05,9,13,3,No
M015,P042,T05,4,2,5,No
M015,P071,T08,1,2,10,No
M015,P004,T08,5,13,4,No
M015,P089,T08,16,14,2,No
M015,P016,T08,14,4,5,No
M015,P013,T08,7,1,7,No
